x,luma
2.129338E-1,2.876067E1
2.128601E-1,2.777170E1
2.127864E-1,2.776757E1
2.127127E-1,2.765519E1
2.126391E-1,2.770592E1
2.125654E-1,2.778452E1
2.124917E-1,2.761036E1
2.124180E-1,2.779919E1
2.123444E-1,2.768227E1
2.122707E-1,2.706208E1
2.121970E-1,2.650857E1
2.121233E-1,2.625814E1
2.120497E-1,2.632764E1
2.119760E-1,2.647131E1
2.119023E-1,2.614081E1
2.118286E-1,2.551047E1
2.117549E-1,2.474234E1
2.116813E-1,2.477141E1
2.116076E-1,2.601928E1
2.115339E-1,2.724437E1
2.114602E-1,2.737200E1
2.113866E-1,2.659235E1
2.113129E-1,2.623476E1
2.112392E-1,2.658292E1
2.111655E-1,2.653215E1
2.110919E-1,2.554636E1
2.110182E-1,2.435364E1
2.109445E-1,2.379665E1
2.108708E-1,2.398034E1
2.107972E-1,2.448534E1
2.107235E-1,2.549922E1
2.106498E-1,2.700929E1
2.105761E-1,2.782865E1
2.105024E-1,2.795152E1
2.104288E-1,2.829752E1
2.103551E-1,2.840640E1
2.102814E-1,2.828612E1
2.102077E-1,2.808356E1
2.101341E-1,2.813230E1
2.100604E-1,2.874861E1
2.099867E-1,2.921974E1
2.099130E-1,2.946881E1
2.098394E-1,2.965386E1
2.097657E-1,3.023323E1
2.096920E-1,3.087698E1
2.096183E-1,3.126679E1
2.095446E-1,3.111277E1
2.094710E-1,3.119104E1
2.093973E-1,3.219653E1
2.093236E-1,3.281768E1
2.092499E-1,3.205902E1
2.091763E-1,3.124903E1
2.091026E-1,3.188393E1
2.090289E-1,3.274503E1
2.089552E-1,3.266914E1
2.088816E-1,3.248428E1
2.088079E-1,3.318698E1
2.087342E-1,3.414680E1
2.086605E-1,3.381064E1
2.085868E-1,3.262796E1
2.085132E-1,3.202309E1
2.084395E-1,3.202244E1
2.083658E-1,3.204293E1
2.082921E-1,3.248794E1
2.082185E-1,3.284104E1
2.081448E-1,3.268462E1
2.080711E-1,3.251507E1
2.079974E-1,3.273565E1
2.079238E-1,3.262860E1
2.078501E-1,3.209329E1
2.077764E-1,3.176278E1
2.077027E-1,3.179788E1
2.076291E-1,3.168878E1
2.075554E-1,3.138746E1
2.074817E-1,3.123897E1
2.074080E-1,3.117695E1
2.073343E-1,3.131640E1
2.072607E-1,3.083405E1
2.071870E-1,2.984175E1
2.071133E-1,2.940469E1
2.070396E-1,2.917333E1
2.069660E-1,2.912400E1
2.068923E-1,2.899757E1
2.068186E-1,2.873169E1
2.067449E-1,2.826733E1
2.066713E-1,2.745009E1
2.065976E-1,2.622826E1
2.065239E-1,2.520614E1
2.064502E-1,2.504690E1
2.063765E-1,2.537344E1
2.063029E-1,2.532255E1
2.062292E-1,2.532679E1
2.061555E-1,2.573907E1
