x,luma
3.459058E-2,6.586792E1
3.443118E-2,7.431359E1
3.427178E-2,6.597062E1
3.411238E-2,6.002647E1
3.395298E-2,7.040909E1
3.379357E-2,7.334670E1
3.363417E-2,6.913612E1
3.347477E-2,7.085157E1
3.331537E-2,6.035303E1
3.315597E-2,5.242679E1
3.299657E-2,6.161092E1
3.283716E-2,7.166136E1
3.267776E-2,6.760405E1
3.251836E-2,6.634531E1
3.235896E-2,6.326993E1
3.219956E-2,5.272989E1
3.204016E-2,6.240176E1
3.188075E-2,6.314670E1
3.172135E-2,6.496340E1
3.156195E-2,6.376856E1
3.140255E-2,5.791237E1
3.124315E-2,5.330610E1
3.108374E-2,5.537581E1
3.092434E-2,6.097757E1
3.076494E-2,6.330000E1
3.060554E-2,6.369443E1
3.044614E-2,6.118060E1
3.028674E-2,5.789152E1
3.012733E-2,5.979741E1
2.996793E-2,6.540132E1
2.980853E-2,6.942672E1
2.964913E-2,6.981507E1
2.948973E-2,6.992884E1
2.933033E-2,6.440240E1
2.917092E-2,6.828456E1
2.901152E-2,7.450579E1
2.885212E-2,7.669792E1
2.869272E-2,7.876200E1
2.853332E-2,7.480138E1
2.837392E-2,6.333688E1
2.821451E-2,5.378527E1
2.805511E-2,7.215376E1
2.789571E-2,7.842656E1
2.773631E-2,7.911842E1
2.757691E-2,8.146185E1
2.741750E-2,7.241051E1
2.725810E-2,6.698422E1
2.709870E-2,7.631036E1
2.693930E-2,8.104088E1
2.677990E-2,7.932519E1
2.662050E-2,8.012623E1
2.646109E-2,7.663548E1
2.630169E-2,7.195297E1
2.614229E-2,7.708617E1
2.598289E-2,8.231404E1
2.582349E-2,7.948697E1
2.566409E-2,8.065010E1
2.550468E-2,7.804429E1
2.534528E-2,7.012331E1
2.518588E-2,6.960260E1
2.502648E-2,7.802568E1
2.486708E-2,7.986268E1
2.470767E-2,7.758492E1
2.454827E-2,7.938185E1
2.438887E-2,7.372867E1
2.422947E-2,7.299959E1
2.407007E-2,7.861501E1
2.391067E-2,8.157133E1
2.375126E-2,8.052276E1
2.359186E-2,8.273863E1
2.343246E-2,7.912320E1
2.327306E-2,7.109941E1
2.311366E-2,8.648803E1
2.295426E-2,8.841974E1
2.279485E-2,9.019477E1
2.263545E-2,9.092198E1
2.247605E-2,9.141275E1
2.231665E-2,9.227965E1
2.215725E-2,9.420713E1
2.199785E-2,9.600199E1
2.183844E-2,9.521798E1
2.167904E-2,9.765803E1
2.151964E-2,9.610278E1
2.136024E-2,9.747062E1
2.120084E-2,1.053313E2
2.104143E-2,1.090660E2
2.088203E-2,1.122256E2
2.072263E-2,1.194459E2
2.056323E-2,1.288770E2
2.040383E-2,1.068636E2
2.024443E-2,1.017521E2
2.008502E-2,1.243889E2
1.992562E-2,1.487357E2
1.976622E-2,1.674126E2
1.960682E-2,1.795096E2
1.944742E-2,1.833063E2
1.928802E-2,2.046241E2
1.912861E-2,2.311275E2
1.896921E-2,2.456538E2
1.880981E-2,2.494827E2
1.865041E-2,2.528795E2
1.849101E-2,2.522307E2
1.833160E-2,2.499957E2
1.817220E-2,2.522998E2
1.801280E-2,2.517220E2
1.785340E-2,2.516253E2
1.769400E-2,2.527667E2
1.753460E-2,2.502970E2
1.737519E-2,2.483328E2
1.721579E-2,2.486773E2
1.705639E-2,2.426845E2
1.689699E-2,2.259728E2
1.673759E-2,1.992563E2
1.657819E-2,1.801044E2
1.641878E-2,1.542753E2
1.625938E-2,1.489135E2
1.609998E-2,1.580421E2
1.594058E-2,1.504015E2
1.578118E-2,1.293040E2
1.562178E-2,1.188343E2
1.546237E-2,1.129224E2
1.530297E-2,1.063404E2
1.514357E-2,1.223723E2
1.498417E-2,1.202406E2
1.482477E-2,1.149801E2
1.466536E-2,1.180204E2
1.450596E-2,1.033991E2
1.434656E-2,9.378360E1
1.418716E-2,9.761921E1
1.402776E-2,9.895011E1
1.386836E-2,9.605925E1
1.370895E-2,9.499580E1
1.354955E-2,9.472854E1
1.339015E-2,8.750787E1
1.323075E-2,8.468076E1
1.307135E-2,9.121710E1
1.291195E-2,8.565469E1
1.275254E-2,8.034219E1
1.259314E-2,7.929459E1
1.243374E-2,7.705120E1
1.227434E-2,7.303085E1
1.211494E-2,7.803169E1
1.195554E-2,8.469514E1
1.179613E-2,8.280691E1
1.163673E-2,8.188706E1
1.147733E-2,7.738410E1
1.131793E-2,6.947322E1
1.115853E-2,7.595354E1
1.099912E-2,7.966533E1
1.083972E-2,7.749122E1
1.068032E-2,8.019290E1
1.052092E-2,7.658415E1
1.036152E-2,7.013159E1
1.020212E-2,7.522916E1
1.004271E-2,8.090759E1
9.883312E-3,8.220026E1
9.723911E-3,8.094643E1
9.564509E-3,8.074001E1
9.405107E-3,7.726133E1
9.245705E-3,7.195977E1
9.086304E-3,8.202731E1
8.926902E-3,8.369893E1
8.767500E-3,8.335436E1
8.608098E-3,8.243044E1
8.448697E-3,7.040455E1
8.289295E-3,6.015389E1
8.129893E-3,7.095484E1
7.970491E-3,8.289869E1
7.811090E-3,8.033341E1
7.651688E-3,8.381010E1
7.492286E-3,7.918790E1
7.332884E-3,7.353568E1
7.173483E-3,7.680694E1
7.014081E-3,7.990914E1
6.854679E-3,7.876183E1
6.695277E-3,7.744672E1
6.535876E-3,7.416016E1
6.376474E-3,6.739564E1
6.217072E-3,6.448823E1
6.057670E-3,6.752687E1
5.898269E-3,7.047086E1
5.738867E-3,6.930938E1
5.579465E-3,6.628235E1
5.420063E-3,6.381608E1
5.260662E-3,5.219073E1
5.101260E-3,6.237464E1
4.941858E-3,6.325914E1
4.782456E-3,6.042008E1
4.623055E-3,6.117767E1
4.463653E-3,5.863757E1
4.304251E-3,5.511782E1
4.144849E-3,5.746133E1
3.985448E-3,6.415825E1
3.826046E-3,6.649933E1
3.666644E-3,6.371985E1
3.507242E-3,6.511355E1
