x,luma
3.438529E-2,1.078095E2
3.426341E-2,9.804003E1
3.414154E-2,9.070307E1
3.401966E-2,9.448384E1
3.389778E-2,9.802998E1
3.377591E-2,9.661552E1
3.365403E-2,9.816206E1
3.353215E-2,9.652214E1
3.341028E-2,1.009222E2
3.328840E-2,8.742801E1
3.316653E-2,7.142871E1
3.304465E-2,8.263585E1
3.292277E-2,9.475173E1
3.280090E-2,8.993918E1
3.267902E-2,8.733025E1
3.255714E-2,8.479852E1
3.243527E-2,8.389786E1
3.231339E-2,7.641637E1
3.219152E-2,7.119150E1
3.206964E-2,7.904436E1
3.194776E-2,9.011081E1
3.182589E-2,9.547896E1
3.170401E-2,9.890826E1
3.158213E-2,9.789405E1
3.146026E-2,9.964013E1
3.133838E-2,9.495866E1
3.121651E-2,8.582873E1
3.109463E-2,8.715425E1
3.097275E-2,9.355234E1
3.085088E-2,9.496966E1
3.072900E-2,9.500527E1
3.060712E-2,9.328383E1
3.048525E-2,9.253233E1
3.036337E-2,9.487399E1
3.024150E-2,8.460871E1
3.011962E-2,9.385850E1
2.999774E-2,9.701314E1
2.987587E-2,9.894136E1
2.975399E-2,9.566241E1
2.963211E-2,9.211776E1
2.951024E-2,9.526333E1
2.938836E-2,8.329381E1
2.926649E-2,6.571140E1
2.914461E-2,6.917534E1
2.902273E-2,8.174272E1
2.890086E-2,8.580750E1
2.877898E-2,8.856159E1
2.865710E-2,8.964782E1
2.853523E-2,9.542701E1
2.841335E-2,9.225803E1
2.829148E-2,8.000781E1
2.816960E-2,8.167324E1
2.804772E-2,9.382487E1
2.792585E-2,9.862293E1
2.780397E-2,9.769893E1
2.768209E-2,1.011929E2
2.756022E-2,1.023368E2
2.743834E-2,9.955919E1
2.731647E-2,9.780286E1
2.719459E-2,9.712077E1
2.707271E-2,9.691075E1
2.695084E-2,9.787754E1
2.682896E-2,9.982293E1
2.670708E-2,9.956900E1
2.658521E-2,9.887355E1
2.646333E-2,9.805291E1
2.634146E-2,9.183828E1
2.621958E-2,8.554015E1
2.609770E-2,9.124204E1
2.597583E-2,9.953414E1
2.585395E-2,9.609583E1
2.573207E-2,9.421572E1
2.561020E-2,9.467942E1
2.548832E-2,9.769243E1
2.536645E-2,9.460458E1
2.524457E-2,9.443412E1
2.512269E-2,1.031565E2
2.500082E-2,1.088109E2
2.487894E-2,1.198538E2
2.475706E-2,1.406250E2
2.463519E-2,1.519527E2
2.451331E-2,1.585604E2
2.439144E-2,1.573514E2
2.426956E-2,1.448974E2
2.414768E-2,1.506398E2
2.402581E-2,1.734741E2
2.390393E-2,1.839917E2
2.378205E-2,1.844455E2
2.366018E-2,1.832293E2
2.353830E-2,1.761938E2
2.341643E-2,1.538370E2
2.329455E-2,1.174382E2
2.317267E-2,1.014492E2
2.305080E-2,1.067509E2
2.292892E-2,1.048446E2
2.280704E-2,9.781702E1
2.268517E-2,9.407569E1
2.256329E-2,9.590894E1
2.244142E-2,9.779218E1
2.231954E-2,9.086965E1
2.219766E-2,8.863985E1
2.207579E-2,1.008463E2
2.195391E-2,1.138866E2
2.183203E-2,1.291764E2
2.171016E-2,1.469399E2
2.158828E-2,1.645655E2
2.146641E-2,1.752501E2
2.134453E-2,1.726532E2
2.122265E-2,1.780653E2
2.110078E-2,1.960941E2
2.097890E-2,2.062357E2
2.085702E-2,2.028204E2
2.073515E-2,2.033335E2
2.061327E-2,2.088062E2
2.049140E-2,2.039471E2
2.036952E-2,1.885325E2
2.024764E-2,1.742107E2
2.012577E-2,1.707368E2
2.000389E-2,1.696115E2
1.988201E-2,1.609032E2
1.976014E-2,1.441991E2
1.963826E-2,1.224792E2
1.951639E-2,1.068388E2
1.939451E-2,9.684392E1
1.927263E-2,8.632410E1
1.915076E-2,8.845735E1
1.902888E-2,9.903017E1
1.890700E-2,1.028771E2
1.878513E-2,1.025336E2
1.866325E-2,1.040961E2
1.854138E-2,1.098648E2
1.841950E-2,1.126758E2
1.829762E-2,1.060929E2
1.817575E-2,1.117537E2
1.805387E-2,1.444933E2
1.793199E-2,1.774020E2
1.781012E-2,1.899682E2
1.768824E-2,1.927345E2
1.756637E-2,1.926308E2
1.744449E-2,1.873220E2
1.732261E-2,1.682357E2
1.720074E-2,1.587006E2
1.707886E-2,1.694577E2
1.695699E-2,1.712598E2
1.683511E-2,1.617922E2
1.671323E-2,1.495720E2
1.659136E-2,1.328141E2
1.646948E-2,1.172435E2
1.634760E-2,1.009372E2
1.622573E-2,9.047224E1
1.610385E-2,9.485027E1
1.598198E-2,1.016453E2
1.586010E-2,1.000302E2
1.573822E-2,1.002114E2
1.561635E-2,1.004277E2
1.549447E-2,1.007198E2
1.537259E-2,1.019104E2
1.525072E-2,9.550901E1
1.512884E-2,9.484427E1
1.500697E-2,9.825549E1
1.488509E-2,1.004126E2
1.476321E-2,1.035202E2
1.464134E-2,1.026655E2
1.451946E-2,1.056856E2
1.439758E-2,1.089905E2
1.427571E-2,1.059274E2
1.415383E-2,1.023873E2
1.403196E-2,1.064694E2
1.391008E-2,1.101400E2
1.378820E-2,1.060004E2
1.366633E-2,1.000433E2
1.354445E-2,9.918209E1
1.342257E-2,9.766372E1
1.330070E-2,8.916062E1
1.317882E-2,8.215499E1
1.305695E-2,9.195698E1
1.293507E-2,1.011869E2
1.281319E-2,9.900658E1
1.269132E-2,9.707258E1
1.256944E-2,9.239037E1
1.244756E-2,8.920256E1
1.232569E-2,8.663539E1
1.220381E-2,7.739093E1
1.208194E-2,7.945021E1
1.196006E-2,9.405414E1
1.183818E-2,9.935955E1
1.171631E-2,1.003445E2
1.159443E-2,1.012080E2
1.147255E-2,1.040964E2
1.135068E-2,1.021534E2
1.122880E-2,9.296289E1
1.110693E-2,9.245522E1
1.098505E-2,1.009628E2
1.086317E-2,1.047922E2
1.074130E-2,1.032807E2
1.061942E-2,1.005443E2
1.049754E-2,1.018338E2
1.037567E-2,1.028438E2
1.025379E-2,9.878971E1
1.013192E-2,9.167897E1
1.001004E-2,9.426157E1
9.888163E-3,1.038940E2
9.766286E-3,1.020840E2
9.644410E-3,9.687744E1
9.522534E-3,9.415895E1
9.400658E-3,8.902051E1
9.278781E-3,8.462873E1
9.156905E-3,7.503584E1
9.035029E-3,6.889734E1
8.913153E-3,7.937653E1
