x,luma
3.422328E-2,5.664984E1
3.410959E-2,5.918335E1
3.399590E-2,6.831556E1
3.388221E-2,7.298614E1
3.376853E-2,7.108514E1
3.365484E-2,7.274080E1
3.354115E-2,7.387715E1
3.342747E-2,7.004799E1
3.331378E-2,6.248714E1
3.320009E-2,5.135793E1
3.308640E-2,6.493805E1
3.297272E-2,7.266177E1
3.285903E-2,6.939171E1
3.274534E-2,6.645004E1
3.263166E-2,6.188563E1
3.251797E-2,6.357126E1
3.240428E-2,5.642450E1
3.229060E-2,4.919522E1
3.217691E-2,5.264340E1
3.206322E-2,6.031628E1
3.194953E-2,6.245019E1
3.183585E-2,6.641186E1
3.172216E-2,7.168867E1
3.160847E-2,7.382841E1
3.149479E-2,8.040041E1
3.138110E-2,7.586798E1
3.126741E-2,7.429410E1
3.115372E-2,7.900562E1
3.104004E-2,8.420537E1
3.092635E-2,8.494269E1
3.081266E-2,8.433512E1
3.069898E-2,8.424647E1
3.058529E-2,8.387459E1
3.047160E-2,8.010919E1
3.035791E-2,6.866451E1
3.024423E-2,6.404438E1
3.013054E-2,7.093720E1
3.001685E-2,7.260859E1
2.990317E-2,6.812457E1
2.978948E-2,6.615511E1
2.967579E-2,6.508638E1
2.956211E-2,6.610128E1
2.944842E-2,6.270941E1
2.933473E-2,5.401159E1
2.922104E-2,6.880779E1
2.910736E-2,8.480971E1
2.899367E-2,8.225428E1
2.887998E-2,8.803075E1
2.876630E-2,8.651111E1
2.865261E-2,8.770930E1
2.853892E-2,8.061887E1
2.842523E-2,6.868062E1
2.831155E-2,6.581353E1
2.819786E-2,7.532882E1
2.808417E-2,8.610191E1
2.797049E-2,9.126799E1
2.785680E-2,9.192826E1
2.774311E-2,8.961162E1
2.762942E-2,8.866124E1
2.751574E-2,7.932294E1
2.740205E-2,6.466825E1
2.728836E-2,6.400984E1
2.717468E-2,7.298871E1
2.706099E-2,7.661242E1
2.694730E-2,7.951796E1
2.683362E-2,7.871609E1
2.671993E-2,8.479415E1
2.660624E-2,9.159009E1
2.649255E-2,8.889352E1
2.637887E-2,7.980064E1
2.626518E-2,8.447946E1
2.615149E-2,9.373473E1
2.603781E-2,9.415064E1
2.592412E-2,9.579831E1
2.581043E-2,9.403351E1
2.569674E-2,9.291752E1
2.558306E-2,9.475878E1
2.546937E-2,8.936464E1
2.535568E-2,8.617235E1
2.524200E-2,9.525162E1
2.512831E-2,9.166047E1
2.501462E-2,9.091880E1
2.490093E-2,9.075252E1
2.478725E-2,9.131612E1
2.467356E-2,8.999624E1
2.455987E-2,8.391165E1
2.444619E-2,7.443588E1
2.433250E-2,6.967065E1
2.421881E-2,8.909064E1
2.410513E-2,9.188483E1
2.399144E-2,9.439034E1
2.387775E-2,9.498372E1
2.376406E-2,9.626985E1
2.365038E-2,1.010552E2
2.353669E-2,1.011122E2
2.342300E-2,9.576163E1
2.330932E-2,1.092055E2
2.319563E-2,1.211945E2
2.308194E-2,1.292007E2
2.296825E-2,1.350649E2
2.285457E-2,1.421130E2
2.274088E-2,1.419188E2
2.262719E-2,1.302861E2
2.251351E-2,1.165982E2
2.239982E-2,9.597234E1
2.228613E-2,9.931195E1
2.217245E-2,9.781527E1
2.205876E-2,9.474487E1
