x,luma
3.449421E-2,9.105655E1
3.438314E-2,8.860324E1
3.427207E-2,8.138658E1
3.416100E-2,7.908423E1
3.404993E-2,8.038832E1
3.393886E-2,8.284869E1
3.382779E-2,8.163346E1
3.371672E-2,7.809555E1
3.360565E-2,7.260166E1
3.349458E-2,6.556616E1
3.338351E-2,5.628646E1
3.327244E-2,5.118742E1
3.316137E-2,5.181993E1
3.305030E-2,6.011306E1
3.293923E-2,6.994400E1
3.282815E-2,7.500563E1
3.271708E-2,7.695583E1
3.260601E-2,7.789066E1
3.249494E-2,8.027465E1
3.238387E-2,7.999060E1
3.227280E-2,7.941250E1
3.216173E-2,8.041340E1
3.205066E-2,8.327059E1
3.193959E-2,8.511917E1
3.182852E-2,8.553061E1
3.171745E-2,8.519306E1
3.160638E-2,8.405227E1
3.149531E-2,8.225846E1
3.138424E-2,7.952518E1
3.127317E-2,7.812402E1
3.116209E-2,7.934354E1
3.105102E-2,8.026756E1
3.093995E-2,7.855167E1
3.082888E-2,7.553914E1
3.071781E-2,7.111759E1
3.060674E-2,6.595316E1
3.049567E-2,5.951696E1
3.038460E-2,5.461830E1
3.027353E-2,5.386386E1
3.016246E-2,5.815493E1
3.005139E-2,6.446663E1
2.994032E-2,6.977238E1
2.982925E-2,7.233288E1
2.971818E-2,7.423518E1
2.960711E-2,7.593710E1
2.949603E-2,7.696577E1
2.938496E-2,7.763179E1
2.927389E-2,7.961680E1
2.916282E-2,8.265101E1
2.905175E-2,8.551873E1
2.894068E-2,8.418673E1
2.882961E-2,8.211593E1
2.871854E-2,8.052568E1
2.860747E-2,7.765552E1
2.849640E-2,7.130880E1
2.838533E-2,6.588298E1
2.827426E-2,6.768418E1
2.816319E-2,7.388738E1
2.805212E-2,7.579868E1
2.794105E-2,7.532817E1
2.782997E-2,7.460615E1
2.771890E-2,7.416402E1
2.760783E-2,7.425892E1
2.749676E-2,7.527203E1
2.738569E-2,7.614280E1
2.727462E-2,7.697975E1
2.716355E-2,8.553674E1
2.705248E-2,8.749393E1
2.694141E-2,8.992046E1
2.683034E-2,9.331554E1
2.671927E-2,9.469349E1
2.660820E-2,9.397453E1
2.649713E-2,9.483279E1
2.638606E-2,9.690111E1
2.627498E-2,9.582669E1
2.616391E-2,9.611600E1
2.605284E-2,9.563184E1
2.594177E-2,9.361557E1
2.583070E-2,9.295081E1
2.571963E-2,9.254023E1
2.560856E-2,8.710146E1
2.549749E-2,7.951397E1
2.538642E-2,7.996215E1
2.527535E-2,7.986709E1
2.516428E-2,8.114306E1
2.505321E-2,8.422119E1
2.494214E-2,8.523665E1
2.483107E-2,8.463374E1
2.472000E-2,8.710804E1
2.460892E-2,9.205911E1
2.449785E-2,9.685904E1
2.438678E-2,9.458942E1
2.427571E-2,9.841683E1
2.416464E-2,1.088911E2
2.405357E-2,1.185290E2
2.394250E-2,1.263599E2
2.383143E-2,1.260794E2
2.372036E-2,1.177785E2
2.360929E-2,1.228659E2
2.349822E-2,1.117888E2
2.338715E-2,1.033456E2
2.327608E-2,1.059156E2
2.316501E-2,1.033597E2
2.305394E-2,9.765947E1
2.294286E-2,9.628923E1
2.283179E-2,9.625870E1
2.272072E-2,8.912290E1
2.260965E-2,8.345021E1
2.249858E-2,7.993413E1
2.238751E-2,7.975803E1
2.227644E-2,8.457876E1
2.216537E-2,9.059335E1
2.205430E-2,9.496718E1
2.194323E-2,9.650988E1
2.183216E-2,9.684834E1
2.172109E-2,1.063465E2
2.161002E-2,1.181570E2
2.149895E-2,1.300836E2
2.138788E-2,1.304651E2
2.127680E-2,1.323265E2
2.116573E-2,1.493770E2
2.105466E-2,1.522161E2
2.094359E-2,1.582253E2
2.083252E-2,1.558874E2
2.072145E-2,1.421272E2
2.061038E-2,1.261715E2
2.049931E-2,1.127299E2
2.038824E-2,1.044131E2
2.027717E-2,1.002209E2
2.016610E-2,9.815803E1
2.005503E-2,9.533201E1
